"Story","Title","Result","Date","Stability","Duration (s)"
"Get All Mentor","Get all mentor with valid path","SUCCESS","2023-08-20T22:25:22.3425313+07:00[Asia/Jakarta]","0.0","0.32"
"Get Mentor profile","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:22.9069148+07:00[Asia/Jakarta]","0.0","2.62"
"Get mentor profile by id","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:27.3736455+07:00[Asia/Jakarta]","0.0","0.92"
"Get mentor top week","Get mentor top week with valid path","SUCCESS","2023-08-20T22:25:29.3771817+07:00[Asia/Jakarta]","0.0","0.33"
"Post Create Credentials","Post create Credentials with valid request body","FAILURE","2023-08-20T22:25:29.8201575+07:00[Asia/Jakarta]","0.0","1.84"
"Post Create Credentials","Post create Credentials with invalid request body","SUCCESS","2023-08-20T22:25:31.6740121+07:00[Asia/Jakarta]","0.0","1.82"
"Post Create Credentials","Post create Credentials with empty type","SUCCESS","2023-08-20T22:25:33.5050102+07:00[Asia/Jakarta]","0.0","1.77"
"Post Create Credentials","Post create Credentials with empty name","SUCCESS","2023-08-20T22:25:35.2861848+07:00[Asia/Jakarta]","0.0","1.8"
"Post Create Credentials","Post create Credentials with empty type and empty name","SUCCESS","2023-08-20T22:25:37.100136+07:00[Asia/Jakarta]","0.0","1.82"
"Put Edit Password Mentor","Put edit mentor password with valid request body","SUCCESS","2023-08-20T22:25:38.9309261+07:00[Asia/Jakarta]","0.0","5.68"
"Put Edit Profile Mentor","Put Update mentor profile with valid request body","SUCCESS","2023-08-20T22:25:53.3366319+07:00[Asia/Jakarta]","0.0","2.58"
