"Story","Title","Result","Date","Stability","Duration (s)"
"Post Login Student and Mentor","Login Mentor with valid data","SUCCESS","2023-08-20T22:24:45.1923613+07:00[Asia/Jakarta]","0.0","1.7"
"Post Login Student and Mentor","Login mentor with invalid data using unregistered mentor","SUCCESS","2023-08-20T22:24:46.8992135+07:00[Asia/Jakarta]","0.0","0.52"
"Post Login Student and Mentor","Login mentor without request body","SUCCESS","2023-08-20T22:24:47.4306326+07:00[Asia/Jakarta]","0.0","0.14"
"Post Login Student and Mentor","Login mentor with invalid path","SUCCESS","2023-08-20T22:24:47.5804456+07:00[Asia/Jakarta]","0.0","0.14"
"Post Register Student and Mentor","Register new mentor with valid data","FAILURE","2023-08-20T22:24:49.664197+07:00[Asia/Jakarta]","0.0","0.57"
"Post Register Student and Mentor","Register new mentor with invalid data","SUCCESS","2023-08-20T22:24:50.2365102+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new mentor without data","SUCCESS","2023-08-20T22:24:50.341265+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new mentor with invalid path","SUCCESS","2023-08-20T22:24:50.4467776+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new Mentor with incomplete data","SUCCESS","2023-08-20T22:24:50.5519243+07:00[Asia/Jakarta]","0.0","0.11"
"Post Register Student and Mentor","Register new Mentor with data has been used","SUCCESS","2023-08-20T22:24:50.6772869+07:00[Asia/Jakarta]","0.0","0.52"
