"Story","Title","Result","Date","Stability","Duration (s)"
"Post Login Student and Mentor","Login student without request body","SUCCESS","2023-08-20T22:24:44.7541951+07:00[Asia/Jakarta]","0.0","0.13"
"Post Login Student and Mentor","Login student with invalid path","SUCCESS","2023-08-20T22:24:44.8981322+07:00[Asia/Jakarta]","0.0","0.14"
"Post Login Student and Mentor","Login student with incomplete data","SUCCESS","2023-08-20T22:24:45.0449414+07:00[Asia/Jakarta]","0.0","0.13"
"Post Login Student and Mentor","Login mentor with invalid data using unregistered mentor","SUCCESS","2023-08-20T22:24:46.8992135+07:00[Asia/Jakarta]","0.0","0.52"
"Post Login Student and Mentor","Login mentor without request body","SUCCESS","2023-08-20T22:24:47.4306326+07:00[Asia/Jakarta]","0.0","0.14"
"Post Login Student and Mentor","Login mentor with invalid path","SUCCESS","2023-08-20T22:24:47.5804456+07:00[Asia/Jakarta]","0.0","0.14"
"Post Login Student and Mentor","Login mentor with incomplete data","SUCCESS","2023-08-20T22:24:47.725686+07:00[Asia/Jakarta]","0.0","0.12"
"Post Register Student and Mentor","Register new student with invalid data","SUCCESS","2023-08-20T22:24:48.5420703+07:00[Asia/Jakarta]","0.0","0.13"
"Post Register Student and Mentor","Register new student without data","SUCCESS","2023-08-20T22:24:48.6805952+07:00[Asia/Jakarta]","0.0","0.15"
"Post Register Student and Mentor","Register new student with invalid path","SUCCESS","2023-08-20T22:24:48.8423535+07:00[Asia/Jakarta]","0.0","0.13"
"Post Register Student and Mentor","Register new student with incomplete data","SUCCESS","2023-08-20T22:24:48.9807834+07:00[Asia/Jakarta]","0.0","0.12"
"Post Register Student and Mentor","Register new student with data has been used","SUCCESS","2023-08-20T22:24:49.1069692+07:00[Asia/Jakarta]","0.0","0.54"
"Post Register Student and Mentor","Register new mentor with invalid data","SUCCESS","2023-08-20T22:24:50.2365102+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new mentor without data","SUCCESS","2023-08-20T22:24:50.341265+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new mentor with invalid path","SUCCESS","2023-08-20T22:24:50.4467776+07:00[Asia/Jakarta]","0.0","0.1"
"Post Register Student and Mentor","Register new Mentor with incomplete data","SUCCESS","2023-08-20T22:24:50.5519243+07:00[Asia/Jakarta]","0.0","0.11"
"Post Register Student and Mentor","Register new Mentor with data has been used","SUCCESS","2023-08-20T22:24:50.6772869+07:00[Asia/Jakarta]","0.0","0.52"
"Delete Mentor Class","Delete class mentor with invalid path","SUCCESS","2023-08-20T22:24:53.8229567+07:00[Asia/Jakarta]","0.0","1.75"
"Get All Mentor Class","Get all mentor class with invalid path","SUCCESS","2023-08-20T22:24:57.841926+07:00[Asia/Jakarta]","0.0","1.76"
"Get All Mentor Class","Get all mentor class without path","SUCCESS","2023-08-20T22:24:59.6107042+07:00[Asia/Jakarta]","0.0","1.74"
"Get Mentor Class","Get mentor class with invalid path","SUCCESS","2023-08-20T22:25:03.5354613+07:00[Asia/Jakarta]","0.0","2.17"
"Get Mentor Class","Get mentor class with empty path","SUCCESS","2023-08-20T22:25:05.7200075+07:00[Asia/Jakarta]","0.0","1.74"
"Post Make Class","Post make class with invalid path","SUCCESS","2023-08-20T22:25:10.05183+07:00[Asia/Jakarta]","0.0","1.77"
"Post Make Class","Post make class with empty request body","SUCCESS","2023-08-20T22:25:11.8317326+07:00[Asia/Jakarta]","0.0","2.56"
"Delete Mentor","Delete with invalid path","SUCCESS","2023-08-20T22:25:20.5430391+07:00[Asia/Jakarta]","0.0","1.77"
"Get Mentor profile","Get mentor profile with invalid path","SUCCESS","2023-08-20T22:25:25.5311274+07:00[Asia/Jakarta]","0.0","1.83"
"Get mentor profile by id","Get mentor profile with invalid id path special character","SUCCESS","2023-08-20T22:25:28.3071867+07:00[Asia/Jakarta]","0.0","0.12"
"Get mentor profile by id","Get mentor profile with unavailable path","SUCCESS","2023-08-20T22:25:28.4384054+07:00[Asia/Jakarta]","0.0","0.93"
"Get mentor top week","Get mentor top week with invalid path","SUCCESS","2023-08-20T22:25:29.7158784+07:00[Asia/Jakarta]","0.0","0.09"
"Put Edit Password Mentor","Put edit mentor password with invalid request body","SUCCESS","2023-08-20T22:25:44.6200177+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty old password","SUCCESS","2023-08-20T22:25:46.3549864+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Password Mentor","Put edit mentor password with empty new old password","SUCCESS","2023-08-20T22:25:48.0867908+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty confirmation old password","SUCCESS","2023-08-20T22:25:49.8278794+07:00[Asia/Jakarta]","0.0","1.76"
"Put Edit Password Mentor","Put edit mentor password with all empty value of password","SUCCESS","2023-08-20T22:25:51.5966805+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Profile Mentor","Put Update mentor profile with invalid request body","SUCCESS","2023-08-20T22:25:55.9226265+07:00[Asia/Jakarta]","0.0","1.71"
"Put Edit Profile Mentor","Put Update mentor profile with empty value body","SUCCESS","2023-08-20T22:25:57.6455461+07:00[Asia/Jakarta]","0.0","1.74"
"Post Create Review Mentor","Post make review class with invalid request body using invalid path {id}","SUCCESS","2023-08-20T22:26:25.1156018+07:00[Asia/Jakarta]","0.0","5.32"
"Post Create Review Mentor","Post make review class with empty request body using valid path {id}","SUCCESS","2023-08-20T22:26:30.4452342+07:00[Asia/Jakarta]","0.0","8.77"
