"Story","Title","Result","Date","Stability","Duration (s)"
"Post Login Student and Mentor","Login student with valid data","SUCCESS","2023-08-20T22:24:39.3273993+07:00[Asia/Jakarta]","0.0","4.84"
"Post Login Student and Mentor","Login Mentor with valid data","SUCCESS","2023-08-20T22:24:45.1923613+07:00[Asia/Jakarta]","0.0","1.7"
"Post Make Class","Post make class with valid request body","SUCCESS","2023-08-20T22:25:07.4727891+07:00[Asia/Jakarta]","0.0","2.57"
"Put Update Mentor Class","Put update mentor class with valid request body","SUCCESS","2023-08-20T22:25:14.4188177+07:00[Asia/Jakarta]","0.0","2.56"
"Put Update Mentor Class","Put update mentor class with invalid request body","SUCCESS","2023-08-20T22:25:16.9917226+07:00[Asia/Jakarta]","0.0","1.75"
"Put Update Mentor Class","Put update mentor class with invalid path","SUCCESS","2023-08-20T22:25:18.7487814+07:00[Asia/Jakarta]","0.0","1.78"
"Get All Mentor","Get all mentor with valid path","SUCCESS","2023-08-20T22:25:22.3425313+07:00[Asia/Jakarta]","0.0","0.32"
"Get Mentor profile","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:22.9069148+07:00[Asia/Jakarta]","0.0","2.62"
"Get mentor profile by id","Get mentor profile with valid path","SUCCESS","2023-08-20T22:25:27.3736455+07:00[Asia/Jakarta]","0.0","0.92"
"Get mentor top week","Get mentor top week with valid path","SUCCESS","2023-08-20T22:25:29.3771817+07:00[Asia/Jakarta]","0.0","0.33"
"Post Create Credentials","Post create Credentials with invalid request body","SUCCESS","2023-08-20T22:25:31.6740121+07:00[Asia/Jakarta]","0.0","1.82"
"Post Create Credentials","Post create Credentials with empty type","SUCCESS","2023-08-20T22:25:33.5050102+07:00[Asia/Jakarta]","0.0","1.77"
"Post Create Credentials","Post create Credentials with empty name","SUCCESS","2023-08-20T22:25:35.2861848+07:00[Asia/Jakarta]","0.0","1.8"
"Post Create Credentials","Post create Credentials with empty type and empty name","SUCCESS","2023-08-20T22:25:37.100136+07:00[Asia/Jakarta]","0.0","1.82"
"Put Edit Password Mentor","Put edit mentor password with valid request body","SUCCESS","2023-08-20T22:25:38.9309261+07:00[Asia/Jakarta]","0.0","5.68"
"Put Edit Profile Mentor","Put Update mentor profile with valid request body","SUCCESS","2023-08-20T22:25:53.3366319+07:00[Asia/Jakarta]","0.0","2.58"
"Get Review Mentor","Get mentor review with valid path","SUCCESS","2023-08-20T22:25:59.4030689+07:00[Asia/Jakarta]","0.0","9.46"
"Post Create Review Mentor","Post make review class with valid request body using valid path {id}","SUCCESS","2023-08-20T22:26:16.6374629+07:00[Asia/Jakarta]","0.0","8.47"
