"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Mentor","Delete with invalid path","SUCCESS","2023-08-20T22:25:20.5430391+07:00[Asia/Jakarta]","0.0","1.77"
"Get Mentor profile","Get mentor profile with invalid path","SUCCESS","2023-08-20T22:25:25.5311274+07:00[Asia/Jakarta]","0.0","1.83"
"Get mentor profile by id","Get mentor profile with invalid id path special character","SUCCESS","2023-08-20T22:25:28.3071867+07:00[Asia/Jakarta]","0.0","0.12"
"Get mentor profile by id","Get mentor profile with unavailable path","SUCCESS","2023-08-20T22:25:28.4384054+07:00[Asia/Jakarta]","0.0","0.93"
"Get mentor top week","Get mentor top week with invalid path","SUCCESS","2023-08-20T22:25:29.7158784+07:00[Asia/Jakarta]","0.0","0.09"
"Put Edit Password Mentor","Put edit mentor password with invalid request body","SUCCESS","2023-08-20T22:25:44.6200177+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty old password","SUCCESS","2023-08-20T22:25:46.3549864+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Password Mentor","Put edit mentor password with empty new old password","SUCCESS","2023-08-20T22:25:48.0867908+07:00[Asia/Jakarta]","0.0","1.73"
"Put Edit Password Mentor","Put edit mentor password with empty confirmation old password","SUCCESS","2023-08-20T22:25:49.8278794+07:00[Asia/Jakarta]","0.0","1.76"
"Put Edit Password Mentor","Put edit mentor password with all empty value of password","SUCCESS","2023-08-20T22:25:51.5966805+07:00[Asia/Jakarta]","0.0","1.72"
"Put Edit Profile Mentor","Put Update mentor profile with invalid request body","SUCCESS","2023-08-20T22:25:55.9226265+07:00[Asia/Jakarta]","0.0","1.71"
"Put Edit Profile Mentor","Put Update mentor profile with empty value body","SUCCESS","2023-08-20T22:25:57.6455461+07:00[Asia/Jakarta]","0.0","1.74"
