"Story","Title","Result","Date","Stability","Duration (s)"
"Delete Mentor Class","Delete class mentor with invalid path","SUCCESS","2023-08-20T22:24:53.8229567+07:00[Asia/Jakarta]","0.0","1.75"
"Get All Mentor Class","Get all mentor class with invalid path","SUCCESS","2023-08-20T22:24:57.841926+07:00[Asia/Jakarta]","0.0","1.76"
"Get All Mentor Class","Get all mentor class without path","SUCCESS","2023-08-20T22:24:59.6107042+07:00[Asia/Jakarta]","0.0","1.74"
"Get Mentor Class","Get mentor class with invalid path","SUCCESS","2023-08-20T22:25:03.5354613+07:00[Asia/Jakarta]","0.0","2.17"
"Get Mentor Class","Get mentor class with empty path","SUCCESS","2023-08-20T22:25:05.7200075+07:00[Asia/Jakarta]","0.0","1.74"
"Post Make Class","Post make class with valid request body","SUCCESS","2023-08-20T22:25:07.4727891+07:00[Asia/Jakarta]","0.0","2.57"
"Post Make Class","Post make class with invalid path","SUCCESS","2023-08-20T22:25:10.05183+07:00[Asia/Jakarta]","0.0","1.77"
"Post Make Class","Post make class with empty request body","SUCCESS","2023-08-20T22:25:11.8317326+07:00[Asia/Jakarta]","0.0","2.56"
"Put Update Mentor Class","Put update mentor class with valid request body","SUCCESS","2023-08-20T22:25:14.4188177+07:00[Asia/Jakarta]","0.0","2.56"
"Put Update Mentor Class","Put update mentor class with invalid request body","SUCCESS","2023-08-20T22:25:16.9917226+07:00[Asia/Jakarta]","0.0","1.75"
"Put Update Mentor Class","Put update mentor class with invalid path","SUCCESS","2023-08-20T22:25:18.7487814+07:00[Asia/Jakarta]","0.0","1.78"
